INSERT INTO CircuitoB.Turno (Fecha, Hora, LugarDeAtencion_id,  Paciente_id, TurnoStatus) VALUES 
('2024-05-09', '00:00:00', 1,  NULL,  1),
('2024-05-09', '00:00:00', 2,  NULL,  1),
('2024-05-09', '00:00:00', 3,  NULL,  1),
('2024-05-09', '00:00:00', 4,  NULL,  1),
('2024-05-09', '00:00:00', 5,  NULL,  1),
('2024-05-09', '00:30:00', 1,  NULL,  1),
('2024-05-09', '00:30:00', 2,  NULL,  1),
('2024-05-09', '00:30:00', 3,  NULL,  1),
('2024-05-09', '00:30:00', 4,  NULL,  1),
('2024-05-09', '00:30:00', 5,  NULL,  1),
('2024-05-09', '01:00:00', 1,  NULL,  1),
('2024-05-09', '01:00:00', 2,  NULL,  1),
('2024-05-09', '01:00:00', 3,  NULL,  1),
('2024-05-09', '01:00:00', 4,  NULL,  1),
('2024-05-09', '01:00:00', 5,  NULL,  1),
('2024-05-09', '01:30:00', 1,  NULL,  1),
('2024-05-09', '01:30:00', 2,  NULL,  1),
('2024-05-09', '01:30:00', 3,  NULL,  1),
('2024-05-09', '01:30:00', 4,  NULL,  1),
('2024-05-09', '01:30:00', 5,  NULL,  1),
('2024-05-09', '02:00:00', 1,  NULL,  1),
('2024-05-09', '02:00:00', 2,  NULL,  1),
('2024-05-09', '02:00:00', 3,  NULL,  1),
('2024-05-09', '02:00:00', 4,  NULL,  1),
('2024-05-09', '02:00:00', 5,  NULL,  1),
('2024-05-09', '02:30:00', 1,  NULL,  1),
('2024-05-09', '02:30:00', 2,  NULL,  1),
('2024-05-09', '02:30:00', 3,  NULL,  1),
('2024-05-09', '02:30:00', 4,  NULL,  1),
('2024-05-09', '02:30:00', 5,  NULL,  1),
('2024-05-09', '03:00:00', 1,  NULL,  1),
('2024-05-09', '03:00:00', 2,  NULL,  1),
('2024-05-09', '03:00:00', 3,  NULL,  1),
('2024-05-09', '03:00:00', 4,  NULL,  1),
('2024-05-09', '03:00:00', 5,  NULL,  1),
('2024-05-09', '03:30:00', 1,  NULL,  1),
('2024-05-09', '03:30:00', 2,  NULL,  1),
('2024-05-09', '03:30:00', 3,  NULL,  1),
('2024-05-09', '03:30:00', 4,  NULL,  1),
('2024-05-09', '03:30:00', 5,  NULL,  1),
('2024-05-09', '04:00:00', 1,  NULL,  1),
('2024-05-09', '04:00:00', 2,  NULL,  1),
('2024-05-09', '04:00:00', 3,  NULL,  1),
('2024-05-09', '04:00:00', 4,  NULL,  1),
('2024-05-09', '04:00:00', 5,  NULL,  1),
('2024-05-09', '04:30:00', 1,  NULL,  1),
('2024-05-09', '04:30:00', 2,  NULL,  1),
('2024-05-09', '04:30:00', 3,  NULL,  1),
('2024-05-09', '04:30:00', 4,  NULL,  1),
('2024-05-09', '04:30:00', 5,  NULL,  1),
('2024-05-09', '05:00:00', 1,  NULL,  1),
('2024-05-09', '05:00:00', 2,  NULL,  1),
('2024-05-09', '05:00:00', 3,  NULL,  1),
('2024-05-09', '05:00:00', 4,  NULL,  1),
('2024-05-09', '05:00:00', 5,  NULL,  1),
('2024-05-09', '05:30:00', 1,  NULL,  1),
('2024-05-09', '05:30:00', 2,  NULL,  1),
('2024-05-09', '05:30:00', 3,  NULL,  1),
('2024-05-09', '05:30:00', 4,  NULL,  1),
('2024-05-09', '05:30:00', 5,  NULL,  1),
('2024-05-09', '06:00:00', 1,  NULL,  1),
('2024-05-09', '06:00:00', 2,  NULL,  1),
('2024-05-09', '06:00:00', 3,  NULL,  1),
('2024-05-09', '06:00:00', 4,  NULL,  1),
('2024-05-09', '06:00:00', 5,  NULL,  1),
('2024-05-09', '06:30:00', 1,  NULL,  1),
('2024-05-09', '06:30:00', 2,  NULL,  1),
('2024-05-09', '06:30:00', 3,  NULL,  1),
('2024-05-09', '06:30:00', 4,  NULL,  1),
('2024-05-09', '06:30:00', 5,  NULL,  1),
('2024-05-09', '07:00:00', 1,  NULL,  1),
('2024-05-09', '07:00:00', 2,  NULL,  1),
